cid,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
6902,0.0,20.0,20.0,0.0,15.0,5.0,4.0,-2.5822999999999987,29.767200000000003,150.1298999999999,0.0,20.0,0.0,90.15
899,0.0,30.0,30.0,1.0,22.0,7.0,5.0,-2.6866999999999983,47.189899999999994,221.20779999999976,0.0,29.0,0.0,119.25
24191990,0.0,25.0,23.0,2.0,19.0,8.0,6.0,-3.4007999999999976,39.1468,249.23709999999983,0.0,21.0,0.0,155.52
3083938,0.0,34.0,25.0,2.0,30.0,10.0,8.0,-0.4500000000000002,43.172399999999996,272.15926000000024,0.0,23.0,0.0,129.98000000000002
206,0.0,24.0,24.0,0.0,18.0,6.0,5.0,-3.221399999999998,35.736,180.15587999999985,0.0,24.0,0.0,110.38000000000001
23672344,0.0,17.0,15.0,2.0,13.0,5.0,3.0,-0.4267,27.592999999999996,156.0924499999999,0.0,13.0,0.0,100.61999999999999
614,0.0,17.0,17.0,1.0,12.0,3.0,2.0,0.15179999999999993,32.523500000000006,115.13046000000004,0.0,16.0,0.0,49.33
602,0.0,13.0,12.0,1.0,10.0,3.0,2.0,0.1185,21.014200000000002,89.09318000000003,0.0,11.0,0.0,63.31999999999999
1143,0.0,45.0,46.0,0.0,33.0,11.0,8.0,-5.3971999999999944,68.1194,342.29648000000026,0.0,46.0,0.0,189.52999999999997
206,0.0,24.0,24.0,0.0,18.0,6.0,5.0,-3.221399999999998,35.736,180.15587999999985,0.0,24.0,0.0,110.38000000000001
453,0.0,26.0,25.0,0.0,20.0,6.0,6.0,-3.585399999999998,37.92679999999999,182.17175999999984,0.0,25.0,0.0,121.38000000000001
617,0.0,14.0,13.0,1.0,11.0,4.0,3.0,-0.9091,22.176000000000002,105.09258000000004,0.0,12.0,0.0,83.55
453,0.0,26.0,25.0,0.0,20.0,6.0,6.0,-3.585399999999998,37.92679999999999,182.17175999999984,0.0,25.0,0.0,121.38000000000001
753,0.0,14.0,13.0,0.0,11.0,3.0,3.0,-1.6681,20.020400000000002,92.09382000000004,0.0,13.0,0.0,60.69
17106,0.0,23.0,23.0,0.0,17.0,5.0,4.0,-2.1937999999999986,34.574200000000005,164.15647999999987,0.0,23.0,0.0,90.15
23677976,0.0,24.0,22.0,2.0,18.0,7.0,5.0,-3.2864999999999975,37.574999999999996,217.12916999999982,0.0,20.0,0.0,135.29
517056,0.0,26.0,24.0,1.0,20.0,7.0,6.0,-3.4930999999999983,38.5368,219.1450499999998,0.0,23.0,0.0,138.45000000000002
14754,0.0,21.0,18.0,1.0,17.0,6.0,4.0,-1.5511000000000001,30.9307,218.05326099999988,0.0,17.0,0.0,117.03
229,0.0,20.0,20.0,0.0,15.0,5.0,4.0,-2.5822999999999987,29.767200000000003,150.1298999999999,0.0,20.0,0.0,90.15
